wiki_page,sentence,cause,effect,ChatGPT_label,GPT4_label
London, the threat has increased over time **BECAUSE** of a slow but continuous rise in high water level **CAUSED BY** climate change and by the slow 'tilting' of the british isles ##AS A RESULT##of post-glacial rebound,The British Isles have been slowly tilted due to post-glacial rebound , The threat has increased over time,1,1.0
London, the threat has increased over time **BECAUSE** of a slow but continuous rise in high water level **CAUSED BY** climate change and by the slow 'tilting' of the british isles ##AS A RESULT##of post-glacial rebound,The high water level has risen slowly but continuously , The British Isles have been slowly tilted due to post-glacial rebound,1,0.0
London,"london's buildings are too diverse to be characterised by any particular architectural style, partly **BECAUSE** of their varying ages",London's buildings have varying ages , London's buildings vary in age,1,1.0
London,"london's buildings are too diverse to be characterised by any particular architectural style, partly **BECAUSE** of their varying ages",London's buildings have varying ages , London's buildings are too diverse to be characterized by any particular architectural style,1,1.0
London,"london's buildings are too diverse to be characterised by any particular architectural style, partly **BECAUSE** of their varying ages",London's buildings have varying ages , London's buildings lack a particular architectural style,1,1.0
London,"london's buildings are too diverse to be characterised by any particular architectural style, partly **BECAUSE** of their varying ages",London's buildings have varying ages , London's buildings are diverse,1,1.0
London," hampton court park is also a royal park, but, **BECAUSE** it contains a palace, it is administered by the historic royal palaces, unlike the eight royal parks",Hampton Court Park is a royal park , The Historic Royal Palaces administer Hampton Court Park,1,1.0
London," hampton court park is also a royal park, but, **BECAUSE** it contains a palace, it is administered by the historic royal palaces, unlike the eight royal parks",Hampton Court Park contains a palace , The Historic Royal Palaces administer Hampton Court Park,1,1.0
London," hampton court park is also a royal park, but, **BECAUSE** it contains a palace, it is administered by the historic royal palaces, unlike the eight royal parks",Hampton Court Park contains a palace , The eight Royal Parks are administered differently than Hampton Court Park,1,1.0
Natural resource economics, is utilizing the removal of dislocations in a material with a technique that overcomes performance limitations **CAUSED BY** inherent weaknesses in the crystal atomic structure,The material has inherent weaknesses in the crystal atomic structure , The material has dislocations,1,1.0
Natural resource economics, is utilizing the removal of dislocations in a material with a technique that overcomes performance limitations **CAUSED BY** inherent weaknesses in the crystal atomic structure,The material has inherent weaknesses in the crystal atomic structure , The material's dislocations are being removed,1,1.0
Natural resource economics, is utilizing the removal of dislocations in a material with a technique that overcomes performance limitations **CAUSED BY** inherent weaknesses in the crystal atomic structure,The material has inherent weaknesses in the crystal atomic structure , The material's performance limitations are being overcome,1,0.0
Natural resource economics, is utilizing the removal of dislocations in a material with a technique that overcomes performance limitations **CAUSED BY** inherent weaknesses in the crystal atomic structure,The material has inherent weaknesses in the crystal atomic structure , The technique is being utilized,1,1.0
High-frequency trading,"the brief but dramatic stock market crash of may 6, 2010, was initially thought to have been **CAUSED BY** high-frequency trading",high-frequency trading caused the stock market crash ," The brief but dramatic stock market crash of May 6,",1,1.0
High-frequency trading,"the brief but dramatic stock market crash of may 6, 2010, was initially thought to have been **CAUSED BY** high-frequency trading",high-frequency trading caused the stock market crash , The stock market crash was initially thought to have been **CAUSED BY** high-frequency trading,1,1.0
Urban economics," **BECAUSE** housing is immobile, when a household chooses a dwelling, it is also choosing a location",A household chooses a dwelling , A household chooses a location,1,1.0
Keynesian cross," the ad curve is assumed to be positive **BECAUSE** an increase in national output should lead to an increase in disposable income and, ##THUS##, an increase in consumption, which makes up a portion of aggregate demand",An increase in national output , The AD curve is assumed to be positive,1,1.0
Keynesian cross," the ad curve is assumed to be positive **BECAUSE** an increase in national output should lead to an increase in disposable income and, ##THUS##, an increase in consumption, which makes up a portion of aggregate demand",An increase in disposable income , The AD curve is assumed to be positive,1,1.0
Keynesian cross," the ad curve is assumed to be positive **BECAUSE** an increase in national output should lead to an increase in disposable income and, ##THUS##, an increase in consumption, which makes up a portion of aggregate demand",An increase in consumption , The AD curve is assumed to be positive,1,1.0
Keynesian cross," the ad curve is assumed to be positive **BECAUSE** an increase in national output should lead to an increase in disposable income and, ##THUS##, an increase in consumption, which makes up a portion of aggregate demand",The AD curve is assumed to be positive , An increase in consumption,1,0.0
Keynesian cross," the ad curve is assumed to be positive **BECAUSE** an increase in national output should lead to an increase in disposable income and, ##THUS##, an increase in consumption, which makes up a portion of aggregate demand",An increase in national output , An increase in consumption,1,1.0
Keynesian cross," the ad curve is assumed to be positive **BECAUSE** an increase in national output should lead to an increase in disposable income and, ##THUS##, an increase in consumption, which makes up a portion of aggregate demand",An increase in disposable income , An increase in consumption,1,1.0
Productivity,"productivity growth is important to the firm **BECAUSE** it means that it can meet its (perhaps growing) obligations to workers, shareholders, and governments (taxes and regulation), and still remain competitive or even improve its competitiveness in the market place",Remaining competitive , Productivity growth,1,0.0
Productivity," when toxic employees leave the workplace, it can improve the culture overall **BECAUSE** the remaining staff become more engaged and productive",The remaining staff become more engaged and productive , When toxic employees leave the workplace,1,0.0
Fractional-reserve banking," this theoretical maximum is never reached, **BECAUSE** some eligible reserves are held as cash outside of banks",Some eligible reserves are held as cash outside of banks , The theoretical maximum is never reached,1,1.0
United States dollar," dollar and price stability, reversing the inflation **CAUSED BY** the first world war and stabilizing the value of the dollar during the 1920s, before presiding over a 30% deflation in u",a 30% deflation occurred in the 1920s , dollar and price stability reversed the inflation **CAUSED BY** the First World War,1,0.0
Stock market crash," forced to liquidate their stocks **BECAUSE** of margin calls, overextended investors flooded the exchange with sell orders",overextended investors flooded the exchange with sell orders , Forced to liquidate their stocks,1,0.0
Investment management,"in practice, the ultimate owners of shares often do not exercise the power they collectively hold (**BECAUSE** the owners are many, each with small holdings); financial institutions (as agents) sometimes do",Financial institutions act as agents , The owners of shares do not exercise the power they collectively hold,1,0.0
Investment management,"in practice, the ultimate owners of shares often do not exercise the power they collectively hold (**BECAUSE** the owners are many, each with small holdings); financial institutions (as agents) sometimes do",Financial institutions act as agents , Financial institutions exercise the power they hold,1,0.0
Louis Bachelier,"defended on 29 march 1900 at the university of paris, bachelier's thesis was not well received **BECAUSE** it attempted to apply mathematics to an area mathematicians found unfamiliar",It attempted to apply mathematics to an area mathematicians found unfamiliar , Bachelier's thesis was not well received,1,1.0
Art," similarly to extreme formalism, philosophers typically reject extreme intentionalism, **BECAUSE** art may have multiple ambiguous meanings and authorial intent may be unknowable and ##THUS## irrelevant",authorial intent may be unknowable , philosophers reject extreme intentionalism,1,1.0
Art," similarly to extreme formalism, philosophers typically reject extreme intentionalism, **BECAUSE** art may have multiple ambiguous meanings and authorial intent may be unknowable and ##THUS## irrelevant",authorial intent may be irrelevant , philosophers reject extreme intentionalism,1,1.0
Art," similarly to extreme formalism, philosophers typically reject extreme intentionalism, **BECAUSE** art may have multiple ambiguous meanings and authorial intent may be unknowable and ##THUS## irrelevant",authorial intent may be unknowable , authorial intent may be irrelevant,1,1.0
Art, according to this theory superior execution of art was evolutionarily important **BECAUSE** it attracted mates,attracted mates , execution of art was evolutionarily important,1,1.0
Art," much art has been disliked purely **BECAUSE** it depicted or otherwise stood for unpopular rulers, parties or other groups",art depicted unpopular rulers , art has been disliked,1,1.0
Art," much art has been disliked purely **BECAUSE** it depicted or otherwise stood for unpopular rulers, parties or other groups",art stood for unpopular parties or groups , art has been disliked,1,1.0
Art," édouard manet's le déjeuner sur l'herbe (1863), was considered scandalous not **BECAUSE** of the nude woman, but **BECAUSE** she is seated next to men fully dressed in the clothing of the time, rather than in robes of the antique world",The nude woman in the painting was seated next to men fully dressed in the clothing of the time , Édouard Manet's Le Déjeuner sur l'Herbe (1863) was considered scandalous,1,1.0
Art," édouard manet's le déjeuner sur l'herbe (1863), was considered scandalous not **BECAUSE** of the nude woman, but **BECAUSE** she is seated next to men fully dressed in the clothing of the time, rather than in robes of the antique world","The nude woman was not considered scandalous **BECAUSE** of her nudity, but **BECAUSE** of her proximity to fully dressed men ", Édouard Manet's Le Déjeuner sur l'Herbe (1863) was considered scandalous,1,1.0
Art," this should also secure the economic basis of a country, especially **BECAUSE** works of art are often of tourist importance",works of art are often of tourist importance , This should also secure the economic basis of a country,1,1.0
Price of oil,"the price of oil dropped in november 2018 **BECAUSE** of a number of factors, including ""rising petro-nations’ oil production, the u",The price of oil dropped **BECAUSE** of rising petro-nations’ oil production , The price of oil dropped in November,1,1.0
Price of oil,"3 million barrels per day (bpd) in august 2018, mainly **BECAUSE** of its shale oil production",mainly **BECAUSE** of its shale oil production , 3 million barrels per day (bpd) in August,1,1.0
Thorstein Veblen," veblen admired schmoller, but criticized some other leaders of the german school **BECAUSE** of their over-reliance on descriptions, long displays of numerical data, and narratives of industrial development that rested on no underlying economic theory",The German school leaders relied on long displays of numerical data , Veblen criticized some other leaders of the German school,1,1.0
Thorstein Veblen," veblen admired schmoller, but criticized some other leaders of the german school **BECAUSE** of their over-reliance on descriptions, long displays of numerical data, and narratives of industrial development that rested on no underlying economic theory",The German school leaders relied on long displays of numerical data , The German school leaders did not have an underlying economic theory,1,0.0
Natural resource, fossil fuels such as coal and petroleum are also included in this category **BECAUSE** they are formed from decayed organic matter,The organic matter decays , The fossil fuels are included in the category,1,1.0
Natural resource, fossil fuels such as coal and petroleum are also included in this category **BECAUSE** they are formed from decayed organic matter,The organic matter decays , The category includes fossil fuels,1,1.0
Natural resource, fossil fuels such as coal and petroleum are also included in this category **BECAUSE** they are formed from decayed organic matter,The organic matter decays , The category,1,1.0
Natural resource, fossil fuels such as coal and petroleum are also included in this category **BECAUSE** they are formed from decayed organic matter,The organic matter is formed into fossil fuels , The category includes coal and petroleum,1,1.0
Natural resource, fossil fuels such as coal and petroleum are also included in this category **BECAUSE** they are formed from decayed organic matter,The organic matter is formed into fossil fuels , The fossil fuels are included in the category,1,1.0
Natural resource, fossil fuels such as coal and petroleum are also included in this category **BECAUSE** they are formed from decayed organic matter,The category includes fossil fuels , The fossil fuels are formed from the decayed organic matter,1,0.0
Natural resource, fossil fuels such as coal and petroleum are also included in this category **BECAUSE** they are formed from decayed organic matter,The category includes coal and petroleum , The fossil fuels are included in the category,1,0.0
Natural resource, fossil fuels such as coal and petroleum are also included in this category **BECAUSE** they are formed from decayed organic matter,The category includes coal and petroleum , The category,1,0.0
Natural resource," natural resources can add substantial amounts to a country's wealth; however, a sudden inflow of money **CAUSED BY** a resource boom can create social problems including inflation harming other industries (""dutch disease"") and corruption, leading to inequality and underdevelopment, this is known as the ""resource curse""","A sudden inflow of money **CAUSED BY** a resource boom can create social problems including inflation harming other industries (""Dutch disease"") and corruption, leading to inequality and underdevelopment ", Natural resources can add substantial amounts to a country's wealth,1,0.0
Natural resource," natural resources can add substantial amounts to a country's wealth; however, a sudden inflow of money **CAUSED BY** a resource boom can create social problems including inflation harming other industries (""dutch disease"") and corruption, leading to inequality and underdevelopment, this is known as the ""resource curse""","The ""resource curse"" exists ", Natural resources can add substantial amounts to a country's wealth,1,0.0
Education economics," however, measuring the spending this way alone greatly underestimates the costs **BECAUSE** a more subtle form of costs is completely overlooked: the opportunity cost of forgone wages as students cannot work while they study",the costs are completely overlooked , measuring the spending this way alone greatly underestimates the costs,1,1.0
PnL explained,the sensitivities method  involves first calculating option sensitivities known as the greeks **BECAUSE** of the common practice of representing the sensitivities using greek letters,The sensitivities method involves representing the sensitivities using Greek letters , The sensitivities method involves first calculating option sensitivities known as the Greeks,1,0.0
PnL explained,the sensitivities method  involves first calculating option sensitivities known as the greeks **BECAUSE** of the common practice of representing the sensitivities using greek letters,The sensitivities method involves representing the sensitivities using Greek letters , The sensitivities method is used to calculate option sensitivities,1,0.0
PnL explained,the sensitivities method  involves first calculating option sensitivities known as the greeks **BECAUSE** of the common practice of representing the sensitivities using greek letters,The sensitivities method involves representing the sensitivities using Greek letters , The Greeks are used to represent sensitivities. 6,1,1.0
PnL explained,the sensitivities method  involves first calculating option sensitivities known as the greeks **BECAUSE** of the common practice of representing the sensitivities using greek letters,The sensitivities method is used to represent sensitivities using Greek letters , The sensitivities method involves first calculating option sensitivities known as the Greeks,1,0.0
PnL explained,the sensitivities method  involves first calculating option sensitivities known as the greeks **BECAUSE** of the common practice of representing the sensitivities using greek letters,The sensitivities method is used to represent sensitivities using Greek letters , The Greeks are used to represent sensitivities. 6,1,0.0
Export," however, exporters, who export products and get paid mostly in dollars, suffer **BECAUSE** of the depreciation of the dollar against the armenian dram",the dollar depreciates against the Armenian dram , exporters export products,1,0.0
Export," however, exporters, who export products and get paid mostly in dollars, suffer **BECAUSE** of the depreciation of the dollar against the armenian dram",the dollar depreciates against the Armenian dram , exporters get paid in dollars,1,0.0
Correlation does not imply causation," that in turn is challenged by popular interpretations of the concepts of nonlinear systems and the butterfly effect in which small events cause large effects **BECAUSE** of, respectively, unpredictability and an unlikely triggering of large amounts of potential energy",Unpredictability is present , The concepts of nonlinear systems are challenged,1,1.0
Correlation does not imply causation," that in turn is challenged by popular interpretations of the concepts of nonlinear systems and the butterfly effect in which small events cause large effects **BECAUSE** of, respectively, unpredictability and an unlikely triggering of large amounts of potential energy",Unpredictability is present , The butterfly effect is challenged,1,0.0
Correlation does not imply causation," that in turn is challenged by popular interpretations of the concepts of nonlinear systems and the butterfly effect in which small events cause large effects **BECAUSE** of, respectively, unpredictability and an unlikely triggering of large amounts of potential energy",Unpredictability is present , Small events cause large effects,1,1.0
Correlation does not imply causation," that in turn is challenged by popular interpretations of the concepts of nonlinear systems and the butterfly effect in which small events cause large effects **BECAUSE** of, respectively, unpredictability and an unlikely triggering of large amounts of potential energy",An unlikely triggering of large amounts of potential energy exists , Small events cause large effects,1,1.0
Correlation does not imply causation, the reasoning was that the people got sick **BECAUSE** the lice left,The lice left , The people got sick,1,1.0
Correlation does not imply causation, the reasoning was that the people got sick **BECAUSE** the lice left,The lice were present , The people got sick,1,0.0
Correlation does not imply causation, the reasoning was that the people got sick **BECAUSE** the lice left,The people had lice , The people got sick,1,0.0
Correlation does not imply causation, the reasoning was that the people got sick **BECAUSE** the lice left,The lice were the cause of the sickness , The people got sick,1,0.0
Correlation does not imply causation, the reasoning was that the people got sick **BECAUSE** the lice left,The sickness was **CAUSED BY** the lice , The people got sick,1,0.0
Correlation does not imply causation, the reasoning was that the people got sick **BECAUSE** the lice left,The people were infested with lice , The people got sick,1,0.0
Correlation does not imply causation, the reasoning was that the people got sick **BECAUSE** the lice left,The lice infested the people , The people got sick,1,0.0
Correlation does not imply causation, the reasoning was that the people got sick **BECAUSE** the lice left,The people were affected by the lice , The people got sick,1,0.0
Correlation does not imply causation, the reasoning was that the people got sick **BECAUSE** the lice left,The lice were the cause of the sickness , The people got sick,1,1.0
Correlation does not imply causation, the reasoning was that the people got sick **BECAUSE** the lice left,The lice were the cause of the sickness , The lice left,1,0.0
Correlation does not imply causation, the reasoning was that the people got sick **BECAUSE** the lice left,The lice were the cause of the sickness , The lice were present,1,0.0
Correlation does not imply causation, the reasoning was that the people got sick **BECAUSE** the lice left,The lice were the cause of the sickness , The sickness was **CAUSED BY** the lice,1,0.0
Correlation does not imply causation, the reasoning was that the people got sick **BECAUSE** the lice left,The lice were the cause of the sickness , The people were infested with lice,1,0.0
Correlation does not imply causation, the reasoning was that the people got sick **BECAUSE** the lice left,The lice were the cause of the sickness , The lice infested the people,1,0.0
Correlation does not imply causation, the reasoning was that the people got sick **BECAUSE** the lice left,The lice were the cause of the sickness , The people were affected by the lice,1,1.0
Correlation does not imply causation," the increased drowning deaths are simply **CAUSED BY** more exposure to water-based activities, not ice cream",more exposure to water-based activities , The increased drowning deaths,1,1.0
Correlation does not imply causation, the assumption that a causes b simply **BECAUSE** a correlates with b is often not accepted as a legitimate form of argument,A is assumed to cause B , The assumption that B is **CAUSED BY** A is made,1,1.0
Correlation does not imply causation, the assumption that a causes b simply **BECAUSE** a correlates with b is often not accepted as a legitimate form of argument,A is assumed to cause B , The legitimacy of the argument that A causes B is,1,0.0
Correlation does not imply causation, the assumption that a causes b simply **BECAUSE** a correlates with b is often not accepted as a legitimate form of argument,B is assumed to be **CAUSED BY** A , The assumption that A causes B is made,1,0.0
Active labour market policies, this data is noteworthy **BECAUSE** it supports the premise that district labor offices were driven to cut program expenditures,The premise that district labor offices were driven to cut program expenditures is supported , The data is noteworthy,1,1.0
Active labour market policies, this data is noteworthy **BECAUSE** it supports the premise that district labor offices were driven to cut program expenditures,The premise that district labor offices were driven to cut program expenditures is supported , The data is supporting the premise,1,1.0
Active labour market policies, this data is noteworthy **BECAUSE** it supports the premise that district labor offices were driven to cut program expenditures,The premise that district labor offices were driven to cut program expenditures is supported , The premise is supported by the data,1,1.0
Active labour market policies, this data is noteworthy **BECAUSE** it supports the premise that district labor offices were driven to cut program expenditures,The data supports the premise , The data is supporting the premise,1,0.0
Active labour market policies, this data is noteworthy **BECAUSE** it supports the premise that district labor offices were driven to cut program expenditures,The data supports the premise , The premise is supported by the data,1,1.0
Active labour market policies, this data is noteworthy **BECAUSE** it supports the premise that district labor offices were driven to cut program expenditures,The premise is supported , The data is notable,1,1.0
Active labour market policies, this data is noteworthy **BECAUSE** it supports the premise that district labor offices were driven to cut program expenditures,The premise is supported , The data is supporting the premise,1,1.0
Active labour market policies, this data is noteworthy **BECAUSE** it supports the premise that district labor offices were driven to cut program expenditures,The premise is supported , The data,1,0.0
Neoclassical synthesis,it seemed logical to regard keynesian theory as relating to short-run fluctuations and general equilibrium theory as applying to long-run difficulties where adjustment problems could be safely neglected **BECAUSE** wages were widely believed to be less than totally flexible in the short term,Wages are less than totally flexible in the short term , Keynesian theory is related to short-run fluctuations,1,1.0
Philosophy of social science," jürgen habermas argues, in his on the logic of the social sciences (1967), that ""the positivist thesis of unified science, which assimilates all the sciences to a natural-scientific model, fails **BECAUSE** of the intimate relationship between the social sciences and history, and the fact that they are based on a situation-specific understanding of meaning that can be explicated only hermeneutically … access to a symbolically prestructured reality cannot be gained by observation alone",The social sciences and history are intimately related , Jürgen Habermas argues that the positivist thesis of unified science fails,1,1.0
Philosophy of social science," jürgen habermas argues, in his on the logic of the social sciences (1967), that ""the positivist thesis of unified science, which assimilates all the sciences to a natural-scientific model, fails **BECAUSE** of the intimate relationship between the social sciences and history, and the fact that they are based on a situation-specific understanding of meaning that can be explicated only hermeneutically … access to a symbolically prestructured reality cannot be gained by observation alone",The social sciences and history require a hermeneutic approach , Jürgen Habermas argues that the positivist thesis of unified science fails,1,1.0
Philosophy of social science," jürgen habermas argues, in his on the logic of the social sciences (1967), that ""the positivist thesis of unified science, which assimilates all the sciences to a natural-scientific model, fails **BECAUSE** of the intimate relationship between the social sciences and history, and the fact that they are based on a situation-specific understanding of meaning that can be explicated only hermeneutically … access to a symbolically prestructured reality cannot be gained by observation alone",Observation alone is insufficient for gaining access to a symbolically prestructured reality , Jürgen Habermas argues that the positivist thesis of unified science fails,1,0.0
Philosophy of social science," this problem is especially important for those within the social sciences who study qualitative mental phenomena, such as consciousness, associative meanings, and mental representations, **BECAUSE** a rejection of the study of meanings would lead to the reclassification of such research as non-scientific",The research is being reclassified as non-scientific , The problem is especially important for those within the social sciences,1,0.0
Welfare economics," point e corresponds with point b in the previous diagram, and lies inside the social utility frontier (indicating inefficiency) **BECAUSE** the mrs at point c is not equal to the mrt at point a",The MRS at point C is not equal to the MRT at point A , Point E lies inside the social utility frontier,1,1.0
Welfare economics," point e corresponds with point b in the previous diagram, and lies inside the social utility frontier (indicating inefficiency) **BECAUSE** the mrs at point c is not equal to the mrt at point a",Point E lies inside the social utility frontier , The MRS at point C is not equal to the MRT at point A,1,0.0
Economic growth,"economists refer to economic growth **CAUSED BY** more efficient use of inputs (increased productivity of labor, of physical capital, of energy or of materials) as intensive growth",increased productivity of labor , Economists refer to economic growth **CAUSED BY** more efficient use of inputs,1,1.0
Economic growth,"economists refer to economic growth **CAUSED BY** more efficient use of inputs (increased productivity of labor, of physical capital, of energy or of materials) as intensive growth",increased productivity of physical capital , Economists refer to economic growth **CAUSED BY** more efficient use of inputs,1,1.0
Economic growth,"economists refer to economic growth **CAUSED BY** more efficient use of inputs (increased productivity of labor, of physical capital, of energy or of materials) as intensive growth",increased productivity of energy , Economists refer to economic growth **CAUSED BY** more efficient use of inputs,1,1.0
Economic growth," the rapid economic growth that occurred during the industrial revolution was remarkable **BECAUSE** it was in excess of population growth, providing an escape from the mal##THUS##ian trap",escape from the Mal##THUS##ian trap , rapid economic growth,1,0.0
Economic growth, this measure is widely used **BECAUSE** barro and lee provide data for numerous countries in five-year intervals for a long period of time,The data is provided for numerous countries , The measure is widely used,1,1.0
Economic growth, this measure is widely used **BECAUSE** barro and lee provide data for numerous countries in five-year intervals for a long period of time,The data is provided for numerous countries , The measure is used for numerous countries,1,1.0
Economic growth, this measure is widely used **BECAUSE** barro and lee provide data for numerous countries in five-year intervals for a long period of time,The data is provided in five-year intervals , The measure is widely used,1,1.0
Economic growth, this measure is widely used **BECAUSE** barro and lee provide data for numerous countries in five-year intervals for a long period of time,The data is provided in five-year intervals , The measure is used for numerous countries,1,0.0
Economic growth, this measure is widely used **BECAUSE** barro and lee provide data for numerous countries in five-year intervals for a long period of time,The data is provided for a long period of time , The measure is widely used,1,1.0
Economic growth, this measure is widely used **BECAUSE** barro and lee provide data for numerous countries in five-year intervals for a long period of time,The data is provided for a long period of time , The measure is used for numerous countries,1,1.0
Economic growth, this measure is widely used **BECAUSE** barro and lee provide data for numerous countries in five-year intervals for a long period of time,The data is provided by Barro and Lee , The measure is widely used,1,1.0
Economic growth, this measure is widely used **BECAUSE** barro and lee provide data for numerous countries in five-year intervals for a long period of time,The data is provided by Barro and Lee , The measure is used for numerous countries,1,1.0
Economic growth, this measure is widely used **BECAUSE** barro and lee provide data for numerous countries in five-year intervals for a long period of time,The data is provided for a long time , The measure is widely used,1,1.0
Economic growth, this measure is widely used **BECAUSE** barro and lee provide data for numerous countries in five-year intervals for a long period of time,The data is provided for five-year intervals , The measure is widely used,1,1.0
Economic growth, this measure is widely used **BECAUSE** barro and lee provide data for numerous countries in five-year intervals for a long period of time,The data is provided for five-year intervals , The measure is used for numerous countries,1,1.0
Economic growth," an advocate of reducing inequality levels, piketty suggests levying a global wealth tax in order to reduce the divergence in wealth **CAUSED BY** inequality",Piketty advocates reducing inequality levels , Piketty suggests levying a global wealth tax,1,1.0
Economic growth," an advocate of reducing inequality levels, piketty suggests levying a global wealth tax in order to reduce the divergence in wealth **CAUSED BY** inequality",Piketty advocates reducing inequality levels , The divergence in wealth **CAUSED BY** inequality exists,1,1.0
Economic growth," an advocate of reducing inequality levels, piketty suggests levying a global wealth tax in order to reduce the divergence in wealth **CAUSED BY** inequality",Piketty advocates reducing inequality levels , The divergence in wealth **CAUSED BY** inequality is reduced,1,1.0
Piero Sraffa, sraffa thoroughly analyzed the inconsistencies logic of hayek's theory on the effect of forced capital savings **CAUSED BY** inflation and above all on the definition of natural interest rate,The theory had a definition of natural interest rate , Hayek's theory had inconsistencies,1,0.0
Piero Sraffa, sraffa thoroughly analyzed the inconsistencies logic of hayek's theory on the effect of forced capital savings **CAUSED BY** inflation and above all on the definition of natural interest rate,The theory had a definition of natural interest rate , The theory had forced capital savings **CAUSED BY** inflation,1,0.0
Piero Sraffa, sraffa thoroughly analyzed the inconsistencies logic of hayek's theory on the effect of forced capital savings **CAUSED BY** inflation and above all on the definition of natural interest rate,Sraffa questioned the definition of natural interest rate , Hayek's theory had inconsistencies,1,0.0
Piero Sraffa, sraffa thoroughly analyzed the inconsistencies logic of hayek's theory on the effect of forced capital savings **CAUSED BY** inflation and above all on the definition of natural interest rate,Sraffa questioned the definition of natural interest rate , Sraffa thoroughly analyzed the inconsistencies,1,0.0
Piero Sraffa, sraffa thoroughly analyzed the inconsistencies logic of hayek's theory on the effect of forced capital savings **CAUSED BY** inflation and above all on the definition of natural interest rate,Sraffa questioned the definition of natural interest rate , The theory had forced capital savings **CAUSED BY** inflation,1,0.0
Piero Sraffa, sraffa thoroughly analyzed the inconsistencies logic of hayek's theory on the effect of forced capital savings **CAUSED BY** inflation and above all on the definition of natural interest rate,Sraffa questioned the definition of natural interest rate , Sraffa thoroughly,1,0.0
League of Nations,"the mukden incident, also known as the ""manchurian incident"", was a decisive setback that weakened the league **BECAUSE** its major members refused to tackle japanese aggression",Japanese aggression , The Mukden Incident,1,0.0
League of Nations,"the mukden incident, also known as the ""manchurian incident"", was a decisive setback that weakened the league **BECAUSE** its major members refused to tackle japanese aggression",Japanese aggression ," The ""Manchurian Incident""",1,0.0
League of Nations,"the mukden incident, also known as the ""manchurian incident"", was a decisive setback that weakened the league **BECAUSE** its major members refused to tackle japanese aggression",The League's refusal to tackle Japanese aggression , The Mukden Incident,1,0.0
League of Nations,"the mukden incident, also known as the ""manchurian incident"", was a decisive setback that weakened the league **BECAUSE** its major members refused to tackle japanese aggression",The League's refusal to tackle Japanese aggression ," The ""Manchurian Incident""",1,0.0
League of Nations,"the mukden incident, also known as the ""manchurian incident"", was a decisive setback that weakened the league **BECAUSE** its major members refused to tackle japanese aggression","The ""Manchurian Incident"" ", Japanese aggression,1,0.0
